resource_key,extracted_service_name,original_service_part
"azurerm_aadb2c_directory","Aadb2C Directory","aadb2c_directory"
"azurerm_active_directory_domain_service","Active Directory Domain Service","active_directory_domain_service"
"azurerm_active_directory_domain_service_replica_set","Active Directory Domain Service Replica Set","active_directory_domain_service_replica_set"
"azurerm_active_directory_domain_service_trust","Active Directory Domain Service Trust","active_directory_domain_service_trust"
"azurerm_advanced_threat_protection","Advanced Threat Protection","advanced_threat_protection"
"azurerm_ai_services","Ai Services","ai_services"
"azurerm_analysis_services_server","Analysis Services Server","analysis_services_server"
"azurerm_api_connection","Api Connection","api_connection"
"azurerm_api_management","Api Management","api_management"
"azurerm_api_management_api","Api Management Api","api_management_api"
"azurerm_api_management_api_diagnostic","Api Management Api Diagnostic","api_management_api_diagnostic"
"azurerm_api_management_api_operation","Api Management Api Operation","api_management_api_operation"
"azurerm_api_management_api_operation_policy","Api Management Api Operation Policy","api_management_api_operation_policy"
"azurerm_api_management_api_operation_tag","Api Management Api Operation Tag","api_management_api_operation_tag"
"azurerm_api_management_api_policy","Api Management Api Policy","api_management_api_policy"
"azurerm_api_management_api_release","Api Management Api Release","api_management_api_release"
"azurerm_api_management_api_schema","Api Management Api Schema","api_management_api_schema"
"azurerm_api_management_api_tag","Api Management Api Tag","api_management_api_tag"
"azurerm_api_management_api_tag_description","Api Management Api Tag Description","api_management_api_tag_description"
"azurerm_api_management_api_version_set","Api Management Api Version Set","api_management_api_version_set"
